epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2457,0.77534,2.64933,1.1783,0.01278,1,0.9725,0.93207,0.3315,2.89414,0.79991,0.00013336,0.00013336,0.00013336
2,29.7139,0.66909,1.97468,1.14497,0.01066,1,0.995,0.90208,0.49159,2.44699,0.86366,0.000277779,0.000277779,0.000277779
3,41.9865,0.68212,1.29913,1.10393,0.98035,1,0.995,0.92028,0.43362,1.80941,0.82086,0.000416257,0.000416257,0.000416257
4,53.9489,0.68474,1.01421,1.14403,1,0.60722,0.995,0.91191,0.41419,2.18349,0.81564,0.000548793,0.000548793,0.000548793
5,64.8088,0.65022,0.91647,1.12135,0.99434,1,0.995,0.85348,0.56792,1.31312,0.85533,0.000675388,0.000675388,0.000675388
6,76.8067,0.66424,0.94307,1.12942,0.99262,1,0.995,0.8862,0.55136,1.35901,0.85944,0.000796043,0.000796043,0.000796043
7,89.6427,0.71737,0.88198,1.18082,0.99466,1,0.995,0.89161,0.4776,1.03396,0.83807,0.000910755,0.000910755,0.000910755
8,102.43,0.68786,0.87944,1.10596,0.9937,1,0.995,0.86625,0.55884,1.16351,0.90934,0.00101953,0.00101953,0.00101953
9,114.329,0.69499,0.89625,1.14493,0.99189,1,0.995,0.89237,0.49036,1.21131,0.86181,0.00112236,0.00112236,0.00112236
10,125.575,0.66033,0.84137,1.09725,0.99068,1,0.995,0.91053,0.4627,0.9678,0.86544,0.00121925,0.00121925,0.00121925
11,137.444,0.64206,0.82617,1.03798,0.89986,1,0.995,0.88183,0.5351,1.18326,0.89221,0.0013102,0.0013102,0.0013102
12,149.144,0.65086,0.79695,1.0644,0.94642,1,0.995,0.9125,0.49835,1.37865,0.86669,0.00130393,0.00130393,0.00130393
13,161.209,0.58323,0.76077,1.05913,0.98714,1,0.995,0.95345,0.46168,1.01327,0.83712,0.00127092,0.00127092,0.00127092
14,173.773,0.68289,0.81278,1.05978,0.98454,1,0.995,0.94496,0.42377,0.95997,0.82538,0.00123791,0.00123791,0.00123791
15,186.122,0.6257,0.76667,1.05556,0.97099,1,0.995,0.92086,0.41297,1.02129,0.81232,0.00120491,0.00120491,0.00120491
16,197.899,0.65328,0.78669,1.10621,0.99417,1,0.995,0.90216,0.40672,0.81425,0.81983,0.0011719,0.0011719,0.0011719
17,210.306,0.584,0.75918,1.05808,0.99507,1,0.995,0.90938,0.42508,0.74481,0.82352,0.00113889,0.00113889,0.00113889
18,223.076,0.53238,0.70304,1.01403,0.99513,1,0.995,0.90122,0.42454,0.75544,0.81688,0.00110589,0.00110589,0.00110589
19,236.117,0.50657,0.67012,0.99997,0.99545,1,0.995,0.92093,0.40313,0.73016,0.81435,0.00107288,0.00107288,0.00107288
20,249.449,0.52704,0.69453,0.9931,0.99581,1,0.995,0.90934,0.41987,0.77023,0.823,0.00103987,0.00103987,0.00103987
21,262.402,0.59905,0.72694,1.03696,0.99577,1,0.995,0.92293,0.42838,0.71214,0.8271,0.00100687,0.00100687,0.00100687
22,276.907,0.58175,0.6785,1.0304,0.99504,1,0.995,0.92002,0.43723,0.65784,0.81836,0.000973861,0.000973861,0.000973861
23,292.305,0.51192,0.64071,0.98283,0.99428,1,0.995,0.92517,0.4523,0.66353,0.82228,0.000940855,0.000940855,0.000940855
24,306.091,0.52597,0.6329,1.01366,0.99374,1,0.995,0.90232,0.44338,0.66067,0.8201,0.000907848,0.000907848,0.000907848
25,319.957,0.58978,0.62724,1.05798,0.99378,1,0.995,0.90364,0.43804,0.66041,0.82178,0.000874842,0.000874842,0.000874842
26,333.735,0.57532,0.66446,1.07788,0.9947,1,0.995,0.90204,0.44307,0.67877,0.83021,0.000841835,0.000841835,0.000841835
27,347.356,0.61862,0.64527,1.08802,0.99567,1,0.995,0.93246,0.38491,0.57438,0.79941,0.000808828,0.000808828,0.000808828
28,360.566,0.54561,0.58673,1.00289,0.99566,1,0.995,0.94787,0.38646,0.60469,0.79193,0.000775822,0.000775822,0.000775822
